x1,2612,y1,2036,z1,2094,x2,2105,y2,2037,z2,2039
x1,2437,y1,2027,z1,2096,x2,2104,y2,2036,z2,2039
x1,2437,y1,2026,z1,2095,x2,2105,y2,2036,z2,2039
x1,2438,y1,2025,z1,2095,x2,2104,y2,2036,z2,2040
x1,2436,y1,2026,z1,2092,x2,2105,y2,2036,z2,2039
x1,2437,y1,2025,z1,2097,x2,2104,y2,2037,z2,2040
x1,2438,y1,2026,z1,2094,x2,2107,y2,2036,z2,2038
x1,2439,y1,2027,z1,2095,x2,2104,y2,2036,z2,2040
x1,2436,y1,2025,z1,2095,x2,2104,y2,2036,z2,2039
x1,2437,y1,2025,z1,2091,x2,2104,y2,2037,z2,2039
,24547,,20268,,20944,,21046,,20363,,20392
