*******************************************************

GPSlogger
Writing to GPSLOG61.TXT
Ready!
$GPGGA,190926.439,,,,,0,00,,,M,0.0,M,,0000*5D
#4128
X1,504
X2,319
Y2,336
Z2,338
Time,9389
X1,504
X2,319
Y2,335
Z2,338
Time,9434
X1,504
X2,320
Y2,335
Z2,339
Time,9478
X1,504
X2,321
Y2,334
Z2,339
Time,9523
X1,504
X2,322
Y2,333
Z2,339
Time,9568
X1,504
X2,323
Y2,333
Z2,339
Time,9612
X1,504
X2,323
Y2,333
Z2,338
Time,9671
X1,504
X2,322
Y2,332
Z2,338
Time,9702
X1,504
X2,322
Y2,333
Z2,338
Time,9746
X1,504
X2,322
Y2,332
Z2,338
Time,9803
X1,504
X2,322
Y2,332
Z2,337
Time,9832
Pressure,-32644
Temperature,12
Altitude,244
Time,9923
X1,504
X2,322
Y2,333
Z2,339
Time,9948
X1,504
X2,322
Y2,333
Z2,339
Time,9992
X1,504
X2,322
Y2,332
Z2,338
Time,10037
X1,504
X2,322
Y2,333
Z2,338
Time,10083
X1,504
X2,322
Y2,333
Z2,338
Time,10128
X1,504
X2,322
Y2,333
Z2,338
Time,10174
X1,504
X2,322
Y2,333
Z2,338
Time,10220
X1,504
X2,322
Y2,333
Z2,337
Time,10265
X1,504
X2,322
Y2,333
Z2,337
Time,10311
X1,504
X2,322
Y2,333
Z2,337
Time,10362
X1,504
X2,322
Y2,333
Z2,337
Time,10402
X1,504
X2,322
Y2,333
Z2,338
Time,10448
X1,504
X2,322
Y2,333
Z2,338
Time,10494
X1,504
X2,322
Y2,333
Z2,338
Time,10541
X1,504
X2,322
Y2,333
Z2,337
Time,10586
X1,504
X2,322
Y2,333
Z2,337
Time,10632
X1,504
X2,321
Y2,333
Z2,337
Time,10678
X1,504
X2,321
Y2,333
Z2,338
Time,10740
X1,504
X2,322
Y2,333
Z2,338
Time,10771
X1,504
X2,322
Y2,333
Z2,338
$GPGGA,190932.409,,,,,0,00,,,M,0.0,M,,0000*5B
#10815
Time,10825
Pressure,-32649
Temperature,12
Altitude,244
Time,10929
X1,504
X2,322
Y2,334
Z2,338
Time,10949
X1,504
X2,322
Y2,334
Z2,338
Time,11011
X1,504
X2,322
Y2,334
Z2,337
Time,11040
X1,504
X2,323
Y2,334
Z2,337
Time,11086
X1,504
X2,322
Y2,334
Z2,337
Time,11132
X1,504
X2,322
Y2,334
Z2,337
Time,11177
X1,504
X2,321
Y2,334
Z2,337
Time,11224
X1,504
X2,322
Y2,334
Z2,337
Time,11270
X1,504
X2,322
Y2,334
Z2,337
Time,11316
X1,504
X2,322
Y2,334
Z2,337
Time,11361
X1,504
X2,322
Y2,333
Z2,338
Time,11407
X1,504
X2,322
Y2,333
Z2,339
Time,11453
X1,504
X2,322
Y2,333
Z2,337
Time,11498
X1,504
X2,321
Y2,333
Z2,338
Time,11544
X1,504
X2,321
Y2,333
Z2,337
Time,11590
X1,504
X2,321
Y2,333
Z2,337
Time,11635
X1,504
X2,322
Y2,333
Z2,337
Time,11696
X1,504
X2,322
Y2,333
Z2,336
Time,11723
X1,504
X2,322
Y2,333
Z2,336
Time,11740
X1,504
X2,322
Y2,333
Z2,336
Time,11784
Pressure,-32654
Temperature,12
Altitude,244
Time,11875
X1,504
X2,322
Y2,333
Z2,336
Time,11900
X1,504
X2,322
Y2,333
Z2,336
Time,11951
X1,504
X2,322
Y2,333
Z2,337
Time,11992
X1,504
X2,322
Y2,333
Z2,337
Time,12038
X1,504
X2,322
Y2,333
Z2,337
Time,12083
X1,504
X2,322
Y2,333
Z2,337
Time,12129
X1,504
X2,322
Y2,333
Z2,336
Time,12175
X1,504
X2,322
Y2,333
Z2,337
Time,12220
X1,504
X2,322
Y2,333
Z2,337
Time,12266
X1,504
X2,322
Y2,333
Z2,337
Time,12326
X1,504
X2,322
Y2,333
Z2,337
Time,12357
X1,504
X2,322
Y2,333
Z2,338
Time,12403
X1,504
X2,322
Y2,334
Z2,338
Time,12449
X1,504
X2,321
Y2,333
Z2,337
Time,12499
X1,504
X2,322
Y2,334
Z2,338
Time,12540
X1,504
X2,322
Y2,334
Z2,338
Time,12587
X1,504
X2,322
Y2,334
Z2,337
Time,12652
X1,504
X2,322
Y2,335
Z2,338
Time,12685
X1,504
X2,322
Y2,334
Z2,338
Time,12701
X1,504
X2,322
Y2,334
Z2,338
~$GPGGA,190936.409,,,,,0,00,,,M,0.0,M,,0000*5F
#13623
Time,13623
Pressure,-32649
Temperature,12
Altitude,243
Time,13715
X1,504
X2,322
Y2,333
Z2,337
Time,13740
X1,504
X2,322
Y2,332
Z2,337
Time,13786
X1,504
X2,322
Y2,332
Z2,337
Time,13832
X1,504
X2,322
Y2,332
Z2,337
Time,13878
X1,504
X2,322
Y2,332
Z2,337
Time,13925
X1,504
X2,322
Y2,332
Z2,337
Time,13970
X1,504
X2,322
Y2,332
Z2,337
Time,14015
X1,504
X2,322
Y2,332
Z2,337
Time,14096
X1,504
X2,321
Y2,333
Z2,338
Time,14114
X1,504
X2,321
Y2,333
Z2,337
Time,14153
X1,504
X2,322
Y2,333
Z2,337
Time,14198
X1,504
X2,322
Y2,333
Z2,337
Time,14244
X1,504
X2,322
Y2,333
Z2,336
Time,14290
X1,504
X2,322
Y2,333
Z2,337
Time,14336
X1,504
X2,322
Y2,333
Z2,336
Time,14388
X1,504
X2,322
Y2,333
Z2,336
Time,14426
X1,504
X2,322
Y2,333
Z2,336
Time,14472
X1,504
X2,322
Y2,333
Z2,336
Time,14531
X1,504
X2,322
Y2,333
Z2,336
Time,14586
X1,504
X2,322
Y2,333
Z2,336
Time,14603
Pressure,-32650
Temperature,12
Altitude,244
Time,14694
X1,504
X2,322
Y2,333
Z2,336
Time,14720
X1,504
X2,321
Y2,333
Z2,336
Time,14765
X1,504
X2,322
Y2,332
Z2,336
Time,14811
X1,504
X2,322
Y2,332
Z2,337
Time,14857
X1,504
X2,322
Y2,332
Z2,337
Time,14903
X1,504
X2,322
Y2,332
Z2,337
Time,14949
X1,504
X2,322
Y2,331
Z2,338
Time,14994
X1,504
X2,322
Y2,331
Z2,338
Time,15040
X1,504
X2,321
Y2,331
Z2,337
Time,15086
X1,504
X2,322
Y2,331
Z2,338
Time,15131
X1,504
X2,322
Y2,331
Z2,337
Time,15177
X1,504
X2,322
Y2,331
Z2,337
Time,15223
X1,504
X2,322
Y2,331
Z2,337
Time,15268
X1,504
X2,322
